iter	Passed	Remaining
0	124	124361
1	127	63416
2	131	43552
3	133	33319
4	137	27301
5	141	23401
6	145	20597
7	147	18344
8	150	16563
9	154	15275
10	156	14086
11	160	13187
12	162	12359
13	165	11634
14	168	11055
15	170	10511
16	174	10109
17	177	9684
18	180	9302
19	182	8955
20	185	8633
21	188	8382
22	190	8108
23	193	7880
24	196	7679
25	199	7485
26	201	7277
27	203	7070
28	205	6884
29	207	6698
30	208	6522
31	210	6356
32	212	6223
33	213	6079
34	215	5933
35	216	5793
36	217	5664
37	218	5538
38	219	5420
39	221	5306
40	222	5196
41	223	5095
42	224	5001
43	225	4903
44	226	4811
45	227	4721
46	228	4638
47	229	4555
48	230	4475
49	231	4398
50	232	4326
51	233	4255
52	234	4187
53	235	4122
54	236	4062
55	237	4008
56	238	3950
57	239	3893
58	240	3838
59	241	3785
60	242	3734
61	243	3683
62	244	3635
63	245	3588
64	246	3542
65	247	3499
66	248	3456
67	248	3409
68	249	3370
69	250	3331
70	251	3294
71	252	3260
72	253	3223
73	254	3188
74	255	3153
75	256	3119
76	257	3086
77	258	3056
78	259	3025
79	260	2994
80	261	2964
81	262	2935
82	263	2909
83	264	2884
84	265	2859
85	266	2832
86	267	2804
87	268	2778
88	269	2755
89	270	2731
90	271	2708
91	272	2685
92	272	2662
93	274	2641
94	275	2619
95	275	2598
96	276	2578
97	278	2559
98	279	2542
99	280	2523
100	281	2504
101	281	2481
102	282	2462
103	283	2444
104	284	2427
105	285	2409
106	286	2392
107	287	2375
108	288	2358
109	289	2342
110	290	2328
111	292	2315
112	293	2302
113	294	2289
114	295	2275
115	296	2259
116	297	2244
117	298	2229
118	299	2213
119	300	2200
120	300	2186
121	301	2172
122	302	2156
123	303	2142
124	304	2131
125	305	2121
126	306	2108
127	307	2094
128	308	2082
129	309	2070
130	310	2058
131	311	2046
132	312	2034
133	312	2022
134	313	2011
135	314	2000
136	315	1988
137	316	1976
138	317	1967
139	318	1956
140	319	1947
141	320	1937
142	321	1927
143	322	1917
144	323	1907
145	324	1897
146	325	1887
147	326	1878
148	327	1868
149	328	1859
150	329	1850
151	329	1840
152	331	1836
153	332	1828
154	333	1820
155	334	1811
156	335	1803
157	336	1794
158	337	1786
159	338	1777
160	339	1769
161	340	1761
162	341	1753
163	342	1745
164	343	1737
165	344	1729
166	346	1725
167	347	1719
168	348	1712
169	349	1705
170	350	1698
171	351	1690
172	352	1683
173	353	1676
174	354	1668
175	355	1662
176	355	1655
177	356	1648
178	357	1641
179	358	1635
180	359	1626
181	360	1620
182	361	1614
183	362	1607
184	363	1601
185	364	1595
186	365	1588
187	366	1582
188	367	1576
189	368	1569
190	369	1563
191	370	1557
192	371	1551
193	371	1545
194	373	1540
195	374	1534
196	375	1529
197	376	1523
198	377	1517
199	378	1512
200	378	1506
201	379	1500
202	380	1494
203	381	1489
204	382	1483
205	383	1478
206	384	1472
207	385	1467
208	386	1462
209	387	1457
210	388	1453
211	389	1447
212	390	1442
213	391	1437
214	392	1432
215	393	1427
216	394	1422
217	395	1417
218	396	1413
219	397	1408
220	398	1403
221	398	1398
222	400	1393
223	401	1389
224	402	1385
225	403	1380
226	404	1375
227	405	1371
228	405	1366
229	406	1362
230	407	1357
231	408	1352
232	409	1348
233	410	1343
234	411	1339
235	412	1334
236	413	1330
237	414	1326
238	415	1323
239	416	1319
240	417	1315
241	418	1310
242	419	1306
243	420	1302
244	421	1298
245	422	1294
246	423	1290
247	424	1286
248	425	1281
249	425	1277
250	427	1274
251	428	1270
252	429	1267
253	430	1263
254	431	1259
255	432	1256
256	433	1252
257	434	1248
258	434	1244
259	435	1240
260	436	1237
261	437	1233
